Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",158,704,58,122,144,10,0.188920454,0.242897727,0.379248659,0.367469879,0.322003577,0.458036984,0.701252236,0.4757340011100992,0.4796257916618796,219.82059696978388,-0.4968675747513771,96.02145054844215,-9.602896213531494,11.336407213769629,"Aaron Judge",15640,592450
"Bobby Witt Jr.","KCR",161,709,32,125,109,31,0.080394922,0.149506346,0.256289308,0.35375494,0.331761006,0.389280677,0.588050314,0.40973835374627793,0.40702545166015625,169.25841311425253,4.479686506092548,60.66520320220742,17.416125297546387,10.492483134082956,"Bobby Witt Jr.",25764,677951
"Shohei Ohtani","LAD",159,731,54,134,130,59,0.110807113,0.221614227,0.336477988,0.336470588,0.309748427,0.39010989,0.646226415,0.43054929176412915,0.4418599758307582,179.6185917729568,9.72720418125391,79.32462622490154,-17.17592430114746,8.942958523940284,"Shohei Ohtani",19755,660271
"Juan Soto","NYY",157,713,41,128,109,7,0.180925666,0.16690042,0.28125,0.297619047,0.288194444,0.419354838,0.569444444,0.4205848819428188,0.462612695519107,181.02758031065827,-3.8730039969086647,62.23103671076882,-5.560237765312195,8.294952792954966,"Juan Soto",20123,665742
"Gunnar Henderson","BAL",159,719,37,118,92,21,0.108484005,0.221140472,0.247619048,0.319634703,0.28095238,0.364394993,0.528571428,0.38146476194387025,0.3728841714925699,153.53473243419123,3.983348935842514,48.02566347139638,4.761958360671997,7.914457887848055,"Gunnar Henderson",26289,683002
"Francisco Lindor","NYM",152,689,33,107,91,29,0.081277213,0.184325108,0.226537217,0.295010845,0.273462783,0.343976777,0.5,0.36288581496572286,0.3789471471032431,136.83207207581404,3.996316358447075,34.34268002906593,17.385179042816162,7.721677819609582,"Francisco Lindor",12916,596019
"Jarren Duran","BOS",160,735,21,111,75,34,0.073469387,0.217687074,0.207153502,0.344827586,0.284649776,0.341961852,0.491803278,0.3568673902286514,0.33795505794671066,130.39179163340228,8.318926356732845,33.87824365863446,7.706124544143677,6.812213451022221,"Jarren Duran",24617,680776
"Elly De La Cruz","CIN",160,696,25,105,76,67,0.099137931,0.31321839,0.21197411,0.359042553,0.258899676,0.338616714,0.470873786,0.34864824028373453,0.3276056925455729,119.01837492540193,7.451630473136902,23.280282389809244,16.653884410858154,6.5278253440893375,"Elly De La Cruz",26668,682829
"José Ramírez","CLE",158,682,39,114,118,41,0.079178885,0.120234604,0.258064516,0.265346534,0.279032258,0.334801762,0.537096774,0.3642762730118049,0.32929700728845523,141.28417225921876,6.264235392212868,38.48037981523677,1.229304313659668,6.437068174564515,"Jose Ramirez",13510,608070
"Ketel Marte","ARI",136,583,36,93,95,7,0.111492281,0.181818181,0.267857143,0.299191374,0.291666666,0.372212692,0.559523809,0.3909995480337077,0.3922457394900022,151.441612126253,0.9284186586737633,36.791236443177375,4.742644667625427,6.30281430828755,"Ketel Marte",13613,606466
"William Contreras","MIL",155,679,23,99,92,9,0.114874815,0.204712812,0.18487395,0.330275229,0.280672268,0.365243004,0.465546218,0.3587271837346278,0.35763522637704004,131.79011724983036,-2.590770311653614,23.221320737732526,7.399673938751221,5.50727552086144,"William Contreras",20503,661388
"Matt Chapman","SFG",154,647,27,98,78,15,0.098918083,0.244204018,0.215652174,0.293367346,0.246956521,0.327666151,0.462608695,0.34013576694527026,0.34017686440911094,120.96832354786018,3.666826330125332,19.889755586084647,11.478818655014038,5.473977392062926,"Matt Chapman",16505,656305
"Cal Raleigh","SEA",153,628,34,73,100,6,0.111464968,0.280254777,0.216117216,0.251461988,0.219780219,0.31210191,0.435897435,0.32256641812049425,0.34599164592320425,117.59285242398923,-2.583132788538933,10.058451677283117,21.578243851661682,5.418350944239536,"Cal Raleigh",21534,663728
"Jackson Merrill","SDP",156,593,24,77,90,16,0.048903878,0.170320404,0.207581228,0.31797235,0.292418772,0.32597623,0.5,0.351507786788097,0.3717480614071801,129.69387136414815,3.714604988694191,24.770940913139803,7.18336296081543,5.347990586147634,"Jackson Merrill",29490,701538
"Vladimir Guerrero Jr.","TOR",159,697,30,98,103,2,0.103299856,0.137733142,0.22077922,0.342105263,0.323051948,0.395982783,0.543831168,0.39789022276871394,0.4089601578251008,164.40297292014648,-5.601081304252148,45.76119950009158,-17.81396770477295,5.273645830046974,"Vladimir Guerrero Jr.",19611,665489
"Yordan Alvarez","HOU",147,635,35,88,86,6,0.108661417,0.149606299,0.259057971,0.316901408,0.307971014,0.392125984,0.567028985,0.40158736975397163,0.4113042698493846,167.10300091732066,-2.9079419523477554,45.847295439319964,-16.46963357925415,5.209019021730242,"Yordan Alvarez",19556,670541
"Brent Rooker","OAK",145,614,39,82,112,11,0.096091205,0.288273615,0.269230769,0.362275449,0.293040293,0.364820846,0.562271062,0.39218441668103954,0.379564410761783,163.63141597278016,0.7536731883883476,45.45758895335317,-16.320756793022156,5.112218839503849,"Brent Rooker",19627,667670
"Bryce Harper","PHI",145,631,30,85,87,7,0.12044374,0.218700475,0.24,0.330729166,0.285454545,0.373015873,0.525454545,0.38021706340771305,0.35543284696691174,143.64383238411403,-0.5043392926454544,32.42731311528435,-4.162773609161377,5.098146507616013,"Bryce Harper",11579,547180
"Willy Adames","MIL",161,688,32,93,112,21,0.107558139,0.251453488,0.211475409,0.296568627,0.250819672,0.331395348,0.462295081,0.34193181539103934,0.33924306604984034,120.48568309677175,1.2340515032410622,18.087942187811915,5.8906601667404175,4.8523442615831165,"Willy Adames",15986,642715
"Marcell Ozuna","ATL",162,688,39,96,104,1,0.107558139,0.247093023,0.244224422,0.359102244,0.301980198,0.378457059,0.54620462,0.39450213334856243,0.4016783864874589,154.30114021866925,-4.624746397137642,40.04964776242181,-17.5,4.704765075624693,"Marcell Ozuna",10324,542303
"Corey Seager","TEX",123,533,30,68,74,1,0.099437148,0.18011257,0.233684211,0.29059829,0.277894736,0.35272045,0.511578947,0.364663478286787,0.38742129986102763,141.76090541493608,-5.239710032939911,20.22875214314657,6.975632429122925,4.6352040949545135,"Corey Seager",13624,608369
"Patrick Bailey","SFG",121,448,8,46,46,4,0.087053571,0.223214285,0.104738154,0.286666666,0.234413965,0.297539149,0.339152119,0.2813692890290979,0.31868337566932936,81.41445569451562,0.47039034962654114,-9.48629041834507,36.553147315979004,4.34249381229699,"Patrick Bailey",27478,672275
"Jurickson Profar","SDP",158,668,24,94,85,10,0.113772455,0.151197604,0.179078015,0.301801801,0.280141843,0.380090497,0.459219858,0.365296050431334,0.36404231394187453,138.97431792842295,-0.7856960110366344,30.34696697481334,-10.641411781311035,4.341967121797323,"Jurickson Profar",10815,595777
"Corbin Carroll","ARI",158,684,22,121,74,35,0.106725146,0.190058479,0.196943973,0.255605381,0.23089983,0.321585903,0.427843803,0.3248603077011837,0.3259829372829861,106.92536979223149,11.087110094726086,16.75159409409803,2.284471273422241,4.328076957047039,"Corbin Carroll",25878,682998
"Mookie Betts","LAD",116,516,19,75,75,16,0.118217054,0.110465116,0.202222223,0.293650793,0.288888888,0.372093023,0.491111111,0.3709689515573969,0.35564287271183603,139.51693881093942,0.6122503727674484,24.995651347082646,-0.6944392919540405,4.291690496068686,"Mookie Betts",13611,605141
